date,stockid,TRDDATE,INSTRUSTATUS,NOOFFERLVL,NOBIDLVL,preclose,open,high,low,close,NUMTRADES,TOTALVOLUME,TURNOVER,buy1,sale1,bc1,sc1,buy2,sale2,bc2,sc2,buy3,sale3,bc3,sc3,buy4,sale4,bc4,sc4,buy5,sale5,bc5,sc5,buy6,sale6,bc6,sc6,buy7,sale7,bc7,sc7,buy8,sale8,bc8,sc8,buy9,sale9,bc9,sc9,buy10,sale10,bc10,sc10
2022-05-05 09:31:00,1,20220505.0,,10.0,10.0,15.32,15.2,15.34,15.15,15.27,2511,4541999.0,69191079.78,15.26,15.27,27900.0,36300.0,15.25,15.28,5300.0,3500.0,15.24,15.29,53600.0,110300.0,15.23,15.3,200.0,7200.0,15.22,15.31,5700.0,4400.0,15.21,15.32,200.0,48000.0,15.2,15.33,11200.0,31900.0,15.19,15.34,19400.0,58100.0,15.18,15.35,12600.0,62400.0,15.17,15.36,34200.0,13300.0
2022-05-05 09:32:00,1,20220505.0,,10.0,10.0,15.27,15.2,15.45,15.15,15.36,4031,6675983.0,101992277.5,15.36,15.37,2500.0,34800.0,15.35,15.38,2200.0,17800.0,15.34,15.39,3200.0,62900.0,15.33,15.4,3500.0,141900.0,15.32,15.41,15200.0,29900.0,15.31,15.42,2900.0,60200.0,15.3,15.43,13800.0,36600.0,15.29,15.44,1400.0,46493.0,15.28,15.45,9700.0,166700.0,15.27,15.46,4000.0,11400.0
2022-05-05 09:33:00,1,20220505.0,,10.0,10.0,15.36,15.2,15.45,15.15,15.41,5316,8267883.0,126508074.5,15.41,15.42,4400.0,28600.0,15.4,15.43,75100.0,62900.0,15.39,15.44,48000.0,55093.0,15.38,15.45,14600.0,252600.0,15.37,15.46,16500.0,12900.0,15.36,15.47,14600.0,46700.0,15.35,15.48,5100.0,372100.0,15.34,15.49,2600.0,110800.0,15.33,15.5,18400.0,204500.0,15.32,15.51,16000.0,41000.0
2022-05-05 09:34:00,1,20220505.0,,10.0,10.0,15.41,15.2,15.45,15.15,15.36,6084,9215283.0,141086546.5,15.35,15.36,30600.0,600.0,15.34,15.37,9800.0,3000.0,15.33,15.38,11700.0,5800.0,15.32,15.39,22200.0,48900.0,15.31,15.4,22800.0,85300.0,15.3,15.41,23400.0,76200.0,15.29,15.42,45700.0,45300.0,15.28,15.43,26300.0,55000.0,15.27,15.44,43900.0,115293.0,15.26,15.45,64800.0,270900.0
2022-05-05 09:35:00,1,20220505.0,,10.0,10.0,15.36,15.2,15.45,15.15,15.31,6612,9721783.0,148845261.5,15.3,15.31,31600.0,31400.0,15.29,15.32,11100.0,51600.0,15.28,15.33,28300.0,21100.0,15.27,15.34,4000.0,39500.0,15.26,15.35,74500.0,126600.0,15.25,15.36,24500.0,128400.0,15.24,15.37,1900.0,12300.0,15.23,15.38,6200.0,11800.0,15.22,15.39,11400.0,51300.0,15.21,15.4,40300.0,56000.0
2022-05-05 09:36:00,1,20220505.0,,10.0,10.0,15.31,15.2,15.45,15.15,15.28,7153,10239983.0,156763284.5,15.28,15.29,17600.0,53100.0,15.27,15.3,66200.0,62800.0,15.26,15.31,60300.0,16700.0,15.25,15.32,77200.0,54800.0,15.24,15.33,2600.0,15000.0,15.23,15.34,10500.0,35100.0,15.22,15.35,13300.0,63500.0,15.21,15.36,62500.0,128900.0,15.2,15.37,320600.0,15600.0,15.19,15.38,15000.0,12000.0
2022-05-05 09:37:00,1,20220505.0,,10.0,10.0,15.28,15.2,15.45,15.15,15.27,7713,10732983.0,164290518.5,15.27,15.28,109200.0,140500.0,15.26,15.29,30700.0,15100.0,15.25,15.3,99400.0,61400.0,15.24,15.31,12600.0,15400.0,15.23,15.32,17200.0,55400.0,15.22,15.33,12400.0,18600.0,15.21,15.34,39900.0,28300.0,15.2,15.35,155100.0,63800.0,15.19,15.36,16000.0,6400.0,15.18,15.37,50500.0,13600.0
2022-05-05 09:38:00,1,20220505.0,,10.0,10.0,15.27,15.2,15.45,15.15,15.3,8228,11364880.0,173947653.69,15.3,15.32,53600.0,40500.0,15.29,15.33,15600.0,21200.0,15.28,15.34,25400.0,25500.0,15.27,15.35,108303.0,75300.0,15.26,15.36,291500.0,6900.0,15.25,15.37,217600.0,11600.0,15.24,15.38,17500.0,41700.0,15.23,15.39,19700.0,77000.0,15.22,15.4,17600.0,57000.0,15.21,15.41,40500.0,88700.0
2022-05-05 09:39:00,1,20220505.0,,10.0,10.0,15.3,15.2,15.45,15.15,15.27,8875,12394183.0,189664736.5,15.26,15.27,58600.0,50800.0,15.25,15.28,111500.0,22800.0,15.24,15.29,22900.0,10100.0,15.23,15.3,19200.0,9600.0,15.22,15.31,19600.0,7900.0,15.21,15.32,39500.0,14200.0,15.2,15.33,183200.0,16000.0,15.19,15.34,15900.0,36300.0,15.18,15.35,28200.0,66000.0,15.17,15.36,42400.0,66900.0
2022-05-05 09:40:00,1,20220505.0,,10.0,10.0,15.27,15.2,15.45,15.15,15.23,9354,12808483.0,195981005.5,15.22,15.23,59900.0,18500.0,15.21,15.24,63900.0,147200.0,15.2,15.25,211000.0,22000.0,15.19,15.26,17900.0,22020.0,15.18,15.27,38000.0,20300.0,15.17,15.28,43900.0,8200.0,15.16,15.29,95300.0,3600.0,15.15,15.3,183500.0,16300.0,15.14,15.31,26100.0,2600.0,15.13,15.32,35800.0,14600.0
2022-05-05 09:41:00,1,20220505.0,,10.0,10.0,15.23,15.2,15.45,15.15,15.24,10114,13528583.0,206935863.5,15.23,15.24,6000.0,121600.0,15.22,15.25,222700.0,16600.0,15.21,15.26,41600.0,13320.0,15.2,15.27,100200.0,8100.0,15.19,15.28,35500.0,7400.0,15.18,15.29,49100.0,6000.0,15.17,15.3,57800.0,17200.0,15.16,15.31,101100.0,6500.0,15.15,15.32,206100.0,15000.0,15.14,15.33,26100.0,46000.0
2022-05-05 09:42:00,1,20220505.0,,10.0,10.0,15.24,15.2,15.45,15.15,15.26,10504,14015803.0,214361829.3,15.25,15.26,2400.0,16100.0,15.24,15.27,15480.0,12200.0,15.23,15.28,46700.0,23700.0,15.22,15.29,223500.0,27600.0,15.21,15.3,36400.0,25600.0,15.2,15.31,120000.0,16500.0,15.19,15.32,37100.0,16000.0,15.18,15.33,74700.0,63600.0,15.17,15.34,62500.0,32500.0,15.16,15.35,109500.0,78900.0
2022-05-05 09:43:00,1,20220505.0,,10.0,10.0,15.26,15.2,15.45,15.15,15.31,10923,14379503.0,219913472.3,15.3,15.31,12300.0,11100.0,15.29,15.32,21600.0,26600.0,15.28,15.33,25200.0,46000.0,15.27,15.34,30100.0,36700.0,15.26,15.35,18600.0,78400.0,15.25,15.36,47200.0,69500.0,15.24,15.37,24380.0,13500.0,15.23,15.38,51800.0,61500.0,15.22,15.39,226800.0,95600.0,15.21,15.4,38400.0,80600.0
2022-05-05 09:44:00,1,20220505.0,,10.0,10.0,15.31,15.2,15.45,15.15,15.3,11466,14897203.0,227823295.3,15.3,15.31,18500.0,10500.0,15.29,15.32,123500.0,78400.0,15.28,15.33,8700.0,62400.0,15.27,15.34,20300.0,42400.0,15.26,15.35,9300.0,81000.0,15.25,15.36,44600.0,68700.0,15.24,15.37,58600.0,13000.0,15.23,15.38,48900.0,56500.0,15.22,15.39,228100.0,96500.0,15.21,15.4,30400.0,91400.0
2022-05-05 09:45:00,1,20220505.0,,10.0,10.0,15.3,15.2,15.45,15.15,15.31,11818,15183103.0,232200450.3,15.3,15.31,60100.0,33900.0,15.29,15.32,17000.0,81300.0,15.28,15.33,8700.0,68100.0,15.27,15.34,18300.0,42200.0,15.26,15.35,13500.0,100900.0,15.25,15.36,49000.0,69700.0,15.24,15.37,58600.0,11400.0,15.23,15.38,30600.0,53300.0,15.22,15.39,226900.0,93700.0,15.21,15.4,42200.0,93000.0
2022-05-05 09:46:00,1,20220505.0,,10.0,10.0,15.31,15.2,15.45,15.15,15.31,12176,15569904.0,238121223.6,15.31,15.32,13600.0,90800.0,15.3,15.33,38300.0,72200.0,15.29,15.34,14100.0,42400.0,15.28,15.35,5600.0,112700.0,15.27,15.36,16100.0,68700.0,15.26,15.37,19300.0,11400.0,15.25,15.38,51500.0,54200.0,15.24,15.39,58600.0,95200.0,15.23,15.4,30800.0,88200.0,15.22,15.41,224700.0,102800.0
2022-05-05 09:47:00,1,20220505.0,,10.0,10.0,15.31,15.2,15.45,15.15,15.33,12623,15972604.0,244289873.6,15.32,15.33,24600.0,52800.0,15.31,15.34,20700.0,52100.0,15.3,15.35,54300.0,138500.0,15.29,15.36,16700.0,40700.0,15.28,15.37,7700.0,13500.0,15.27,15.38,9700.0,54200.0,15.26,15.39,36500.0,80200.0,15.25,15.4,53600.0,87800.0,15.24,15.41,63600.0,105800.0,15.23,15.42,30800.0,89400.0
2022-05-05 09:48:00,1,20220505.0,,10.0,10.0,15.33,15.2,15.45,15.15,15.34,13079,16412604.0,251037376.6,15.34,15.35,5500.0,106000.0,15.33,15.36,90300.0,11600.0,15.32,15.37,79900.0,18800.0,15.31,15.38,22200.0,96300.0,15.3,15.39,54800.0,93100.0,15.29,15.4,13900.0,85200.0,15.28,15.41,10300.0,106200.0,15.27,15.42,9800.0,91700.0,15.26,15.43,36500.0,105600.0,15.25,15.44,52200.0,203293.0
2022-05-05 09:49:00,1,20220505.0,,10.0,10.0,15.34,15.2,15.45,15.15,15.33,13583,17071604.0,261141328.6,15.32,15.33,63500.0,1500.0,15.31,15.34,51700.0,12800.0,15.3,15.35,69400.0,126300.0,15.29,15.36,12800.0,13000.0,15.28,15.37,11000.0,45800.0,15.27,15.38,11400.0,106300.0,15.26,15.39,36300.0,109600.0,15.25,15.4,54600.0,128600.0,15.24,15.41,38800.0,77700.0,15.23,15.42,34600.0,93200.0
2022-05-05 09:50:00,1,20220505.0,,10.0,10.0,15.33,15.2,15.45,15.15,15.35,14220,17829204.0,272760793.6,15.34,15.36,23400.0,24800.0,15.33,15.37,64500.0,42000.0,15.32,15.38,29900.0,107100.0,15.31,15.39,58000.0,117500.0,15.3,15.4,71900.0,137600.0,15.29,15.41,11800.0,77700.0,15.28,15.42,22100.0,93200.0,15.27,15.43,11400.0,110600.0,15.26,15.44,38300.0,205393.0,15.25,15.45,57000.0,321200.0
