index,Time,stockid,buy1,sale1,bc1,sc1,buy2,sale2,bc2,sc2,buy3,sale3,bc3,sc3,buy4,sale4,bc4,sc4,buy5,sale5,bc5,sc5,buy6,sale6,bc6,sc6,buy7,sale7,bc7,sc7,buy8,sale8,bc8,sc8,buy9,sale9,bc9,sc9,buy10,sale10,bc10,sc10,preclose,open,high,low,close,NUMTRADES,TOTALVOLUME,TURNOVER
17151087,2022/1/4 9:30,600000,8.54,8.55,189500,89900,8.53,8.56,779300,922700,8.52,8.57,471100,1662200,8.51,8.58,366600,703200,8.5,8.59,558700,352800,8.49,8.6,43100,293400,8.48,8.61,104200,196600,8.47,8.62,20700,275400,8.46,8.63,21400,42400,8.45,8.64,38100,46500,8.53,8.54,8.55,8.54,8.54,220,377300,3224015
17151088,2022/1/4 9:31,600000,8.54,8.55,165771,60600,8.53,8.56,801000,973600,8.52,8.57,480000,1654700,8.51,8.58,369200,732200,8.5,8.59,564100,378200,8.49,8.6,43100,293700,8.48,8.61,104200,209100,8.47,8.62,22600,275400,8.46,8.63,21600,42400,8.45,8.64,44300,48200,8.54,8.54,8.55,8.54,8.55,294,563029,4810931.66
17151089,2022/1/4 9:32,600000,8.54,8.55,110171,172100,8.53,8.56,794800,1111200,8.52,8.57,479000,1695000,8.51,8.58,372900,814687,8.5,8.59,581000,420500,8.49,8.6,43100,295000,8.48,8.61,104200,211600,8.47,8.62,22600,275400,8.46,8.63,21600,44100,8.45,8.64,44300,48800,8.55,8.54,8.55,8.54,8.54,398,779329,6658778.66
17151090,2022/1/4 9:33,600000,8.54,8.55,1581,200700,8.53,8.56,818500,1092400,8.52,8.57,484000,1687400,8.51,8.58,375900,801487,8.5,8.59,575700,442000,8.49,8.6,43100,317700,8.48,8.61,104200,211600,8.47,8.62,22600,275400,8.46,8.63,21600,44100,8.45,8.64,47300,48800,8.54,8.54,8.55,8.53,8.55,492,968119,8271451.26
17151091,2022/1/4 9:34,600000,8.54,8.55,2900,222400,8.53,8.56,847166,1091100,8.52,8.57,484100,1688600,8.51,8.58,391400,801487,8.5,8.59,578800,442000,8.49,8.6,48100,318900,8.48,8.61,103400,211600,8.47,8.62,27800,275400,8.46,8.63,22600,44100,8.45,8.64,53300,74800,8.55,8.54,8.55,8.53,8.54,562,1098934,9388408.02
17151092,2022/1/4 9:35,600000,8.55,8.56,11500,1210600,8.54,8.57,158500,1709200,8.53,8.58,889966,818687,8.52,8.59,488100,442000,8.51,8.6,391400,303400,8.5,8.61,601500,211600,8.49,8.62,48100,275400,8.48,8.63,109200,44100,8.47,8.64,27000,74800,8.46,8.65,27400,52900,8.54,8.54,8.56,8.53,8.55,669,1509534,12898365.02
17151093,2022/1/4 9:36,600000,8.54,8.55,118100,13800,8.53,8.56,892266,1216600,8.52,8.57,498600,1691900,8.51,8.58,393900,838987,8.5,8.59,603200,447000,8.49,8.6,48100,444500,8.48,8.61,109700,212600,8.47,8.62,27000,284700,8.46,8.63,26900,44100,8.45,8.64,54600,79100,8.55,8.54,8.56,8.53,8.54,706,1566934,13389210.02
17151094,2022/1/4 9:37,600000,8.53,8.55,964966,42811,8.52,8.56,504200,1239900,8.51,8.57,395900,1692900,8.5,8.58,609400,847287,8.49,8.59,48100,557500,8.48,8.6,109700,334400,8.47,8.61,27000,216900,8.46,8.62,26900,285700,8.45,8.63,54600,323100,8.44,8.64,31300,79100,8.54,8.54,8.56,8.53,8.55,798,1777034,15183891.91
17151095,2022/1/4 9:38,600000,8.53,8.54,516266,229000,8.52,8.55,521700,135011,8.51,8.56,397600,1203500,8.5,8.57,709500,1696900,8.49,8.58,48100,958487,8.48,8.59,111500,442200,8.47,8.6,21000,331900,8.46,8.61,28100,226800,8.45,8.62,56600,285700,8.44,8.63,31300,325900,8.55,8.54,8.56,8.53,8.53,913,2303634,19676867.91
17151096,2022/1/4 9:39,600000,8.53,8.54,2600,272000,8.52,8.55,515300,289511,8.51,8.56,441600,1170200,8.5,8.57,689000,1698100,8.49,8.58,222400,864087,8.48,8.59,123500,442200,8.47,8.6,24000,331900,8.46,8.61,27800,226800,8.45,8.62,56600,286700,8.44,8.63,31500,326900,8.53,8.54,8.56,8.52,8.54,1264,3204500,27360621.89
17151097,2022/1/4 9:40,600000,8.53,8.54,13000,212600,8.52,8.55,537900,322311,8.51,8.56,461400,1166200,8.5,8.57,719500,1718100,8.49,8.58,223400,876187,8.48,8.59,126500,442200,8.47,8.6,24000,331900,8.46,8.61,27800,226800,8.45,8.62,61600,286700,8.44,8.63,31500,326900,8.54,8.54,8.56,8.52,8.53,1434,3515100,30010450.89
17151098,2022/1/4 9:41,600000,8.53,8.54,74500,174600,8.52,8.55,579000,369111,8.51,8.56,479100,1175900,8.5,8.57,734300,1730400,8.49,8.58,226100,875687,8.48,8.59,129600,442200,8.47,8.6,24000,370400,8.46,8.61,27800,226800,8.45,8.62,61600,286700,8.44,8.63,31500,328000,8.53,8.54,8.56,8.52,8.53,1596,3693000,31528814.89
17151099,2022/1/4 9:42,600000,8.53,8.54,50400,118800,8.52,8.55,679800,393411,8.51,8.56,491200,1177100,8.5,8.57,751900,1731200,8.49,8.58,230100,875687,8.48,8.59,133000,442200,8.47,8.6,24400,370900,8.46,8.61,27800,273100,8.45,8.62,62600,286700,8.44,8.63,31500,328000,8.53,8.54,8.56,8.52,8.53,1726,4061300,34671302.89
17151100,2022/1/4 9:43,600000,8.53,8.54,76900,76900,8.52,8.55,733200,412916,8.51,8.56,493900,1186300,8.5,8.57,763100,1751800,8.49,8.58,240300,881987,8.48,8.59,135300,442200,8.47,8.6,24400,368900,8.46,8.61,27800,273100,8.45,8.62,62600,288700,8.44,8.63,31500,328000,8.53,8.54,8.56,8.52,8.54,1793,4137100,35318258.89
17151101,2022/1/4 9:44,600000,8.53,8.55,299500,396511,8.52,8.56,772500,1179200,8.51,8.57,493800,1751800,8.5,8.58,763100,881087,8.49,8.59,67400,441200,8.48,8.6,132300,383400,8.47,8.61,24400,284400,8.46,8.62,27800,288700,8.45,8.63,62600,328000,8.44,8.64,31600,79400,8.54,8.54,8.56,8.52,8.55,1878,4316000,36846321.89
17151102,2022/1/4 9:45,600000,8.54,8.55,22600,335211,8.53,8.56,353600,1171300,8.52,8.57,778500,1758000,8.51,8.58,520800,889587,8.5,8.59,782100,450900,8.49,8.6,65700,389000,8.48,8.61,132300,286500,8.47,8.62,26200,288700,8.46,8.63,27800,328000,8.45,8.64,62600,79400,8.55,8.54,8.56,8.52,8.54,1926,4426700,37792305.89
17151103,2022/1/4 9:46,600000,8.53,8.54,376500,50100,8.52,8.55,796100,325511,8.51,8.56,517800,1166500,8.5,8.57,791700,1762700,8.49,8.58,65700,911287,8.48,8.59,132300,447700,8.47,8.6,30600,390000,8.46,8.61,28200,296500,8.45,8.62,62100,288700,8.44,8.63,31600,328000,8.54,8.54,8.56,8.52,8.54,1981,4524800,38630426.89
