date,stockid,buy1,sale1,bc1,sc1,buy2,sale2,bc2,sc2,buy3,sale3,bc3,sc3,buy4,sale4,bc4,sc4,buy5,sale5,bc5,sc5,buy6,sale6,bc6,sc6,buy7,sale7,bc7,sc7,buy8,sale8,bc8,sc8,buy9,sale9,bc9,sc9,buy10,sale10,bc10,sc10,preclose,open,high,low,close,NUMTRADES,TOTALVOLUME,TURNOVER
2024-01-02 09:30:00,600519,1707.0,1708.98,100.0,100.0,1706.93,1708.99,100.0,300.0,1706.92,1709.0,200.0,200.0,1706.88,1709.93,200.0,100.0,1706.61,1709.94,100.0,200.0,1706.57,1710.0,100.0,4500.0,1706.56,1710.01,100.0,300.0,1706.51,1711.0,100.0,100.0,1706.5,1711.98,200.0,100.0,1706.46,1712.98,100.0,200.0,1726.0,1715.0,1715.0,1705.11,1708.0,1020,158300.0,270912473.0
2024-01-02 09:31:00,600519,1711.0,1712.87,2700.0,100.0,1710.03,1712.88,100.0,200.0,1710.0,1712.9,1000.0,600.0,1709.95,1712.92,100.0,200.0,1709.87,1712.98,400.0,200.0,1709.86,1712.99,1400.0,500.0,1709.0,1713.0,300.0,200.0,1708.1,1713.33,100.0,300.0,1708.0,1714.0,1200.0,600.0,1707.38,1714.9,100.0,1000.0,1708.0,1715.0,1715.0,1705.11,1712.84,1382,208920.0,357392750.8
2024-01-02 09:32:00,600519,1715.99,1716.0,300.0,100.0,1715.03,1717.0,100.0,400.0,1715.0,1717.55,1245.0,100.0,1714.78,1718.0,300.0,400.0,1714.75,1718.06,100.0,100.0,1714.74,1718.74,300.0,100.0,1714.73,1718.9,4644.0,100.0,1714.7,1719.0,100.0,3200.0,1714.63,1719.94,100.0,100.0,1714.0,1720.0,600.0,4100.0,1712.84,1715.0,1715.99,1705.11,1715.99,1599,245231.0,419627781.56
2024-01-02 09:33:00,600519,1714.0,1715.0,800.0,400.0,1713.99,1715.9,200.0,100.0,1713.66,1715.98,100.0,200.0,1713.51,1715.99,100.0,100.0,1713.5,1716.0,200.0,800.0,1713.0,1716.8,400.0,100.0,1712.89,1717.0,100.0,100.0,1711.62,1717.7,400.0,100.0,1711.1,1717.86,100.0,100.0,1711.03,1717.9,100.0,100.0,1715.99,1715.0,1718.19,1705.11,1714.0,1827,278376.0,476466564.56
2024-01-02 09:34:00,600519,1714.97,1714.99,200.0,200.0,1713.01,1715.0,200.0,300.0,1713.0,1715.08,200.0,100.0,1712.89,1715.9,100.0,300.0,1712.88,1715.95,100.0,200.0,1712.0,1715.96,300.0,2800.0,1711.62,1715.98,400.0,100.0,1711.1,1715.99,100.0,400.0,1711.03,1716.0,100.0,100.0,1711.02,1716.79,200.0,100.0,1714.0,1715.0,1718.19,1705.11,1713.99,1973,300131.0,513772215.56
2024-01-02 09:35:00,600519,1707.38,1708.0,100.0,1000.0,1707.37,1708.83,100.0,100.0,1707.21,1709.0,100.0,900.0,1707.11,1709.01,200.0,100.0,1707.1,1709.86,100.0,2000.0,1707.07,1709.87,100.0,100.0,1707.04,1710.0,100.0,1200.0,1707.01,1710.33,100.0,900.0,1707.0,1711.02,2300.0,200.0,1706.99,1711.04,100.0,100.0,1713.99,1715.0,1718.19,1705.11,1708.0,2145,326131.0,558252890.56
2024-01-02 09:36:00,600519,1709.02,1709.11,100.0,200.0,1709.0,1709.5,5700.0,200.0,1708.99,1709.8,100.0,1400.0,1708.92,1709.86,200.0,700.0,1708.88,1710.0,100.0,400.0,1708.87,1710.33,100.0,900.0,1708.83,1711.02,200.0,100.0,1708.58,1711.05,100.0,300.0,1708.5,1711.57,200.0,100.0,1708.13,1712.0,100.0,400.0,1708.0,1715.0,1718.19,1705.11,1709.11,2280,345131.0,590724565.56
2024-01-02 09:37:00,600519,1707.3,1707.99,500.0,400.0,1707.11,1708.0,200.0,1600.0,1707.1,1708.1,200.0,300.0,1707.07,1708.13,100.0,100.0,1707.04,1708.45,100.0,100.0,1707.03,1708.46,100.0,100.0,1707.01,1708.5,100.0,100.0,1707.0,1708.57,1200.0,100.0,1706.87,1708.58,100.0,100.0,1706.86,1708.81,100.0,100.0,1709.11,1715.0,1718.19,1705.11,1708.0,2443,370831.0,634639599.56
2024-01-02 09:38:00,600519,1708.08,1709.8,100.0,100.0,1708.07,1710.33,200.0,900.0,1708.05,1711.05,400.0,300.0,1708.04,1711.57,100.0,100.0,1708.0,1712.0,700.0,400.0,1707.77,1713.0,100.0,300.0,1707.7,1713.99,100.0,300.0,1707.68,1714.0,100.0,400.0,1707.5,1714.87,400.0,100.0,1707.31,1714.88,100.0,300.0,1708.0,1715.0,1718.19,1705.11,1709.0,2600,392731.0,672050733.56
2024-01-02 09:39:00,600519,1707.16,1707.36,100.0,100.0,1707.02,1707.37,100.0,100.0,1706.66,1707.38,100.0,500.0,1706.63,1707.5,100.0,200.0,1706.59,1707.74,100.0,100.0,1706.5,1707.75,200.0,200.0,1706.34,1707.76,200.0,400.0,1706.33,1708.08,400.0,200.0,1706.2,1708.13,100.0,300.0,1706.1,1708.28,200.0,100.0,1709.0,1715.0,1718.19,1705.11,1707.08,2800,418481.0,716037141.56
